Date,Day,Num_Day,Month,Num_Month,Year,Time,Author,Message,Letters,Words
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,16:51:00,user 29,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,17:32:00,user 42,Deliciosa panadería Artesanal! Entregas miércoles y viernes 🥐🥖💛,63,8
22/11/2021,Lunes,22,Nov,11,2021,17:53:00,user 30,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,18:48:00,user 32,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,Se vende nevera y comedor. Informes al interno que anotaré a continuación,73,12
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28, NNNN ,6,3
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,"Nevera sharp, 14 pies, 600000, muy buena, solo la coca de verduras está reventada, pero es útil,",96,17
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,"Tavo, comedor en roble, 700000, que ofrezcan",44,7
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
22/11/2021,Lunes,22,Nov,11,2021,19:20:00,user 28,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:30:00,user 27,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
